Trial-ID,Status,Iteration,batch_size,lrinit,optimizer,Objective
15,INTERMEDIATE,6,32,2.6495396002059578e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16582.763671875
15,INTERMEDIATE,7,32,2.6495396002059578e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16575.783203125
15,INTERMEDIATE,8,32,2.6495396002059578e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16570.1171875
15,INTERMEDIATE,9,32,2.6495396002059578e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16562.791015625
15,COMPLETED,9,32,2.6495396002059578e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16562.791015625
16,INTERMEDIATE,0,64,1.1151678079092916e-09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16622.9609375
16,INTERMEDIATE,1,64,1.1151678079092916e-09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16622.9609375
16,INTERMEDIATE,2,64,1.1151678079092916e-09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16622.9609375
16,INTERMEDIATE,3,64,1.1151678079092916e-09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16622.9609375
16,INTERMEDIATE,4,64,1.1151678079092916e-09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16622.9609375
16,INTERMEDIATE,5,64,1.1151678079092916e-09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16622.9609375
16,INTERMEDIATE,6,64,1.1151678079092916e-09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16622.9609375
16,INTERMEDIATE,7,64,1.1151678079092916e-09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16622.9609375
16,INTERMEDIATE,8,64,1.1151678079092916e-09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16622.9609375
16,INTERMEDIATE,9,64,1.1151678079092916e-09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16622.9609375
16,COMPLETED,9,64,1.1151678079092916e-09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16622.9609375
17,INTERMEDIATE,0,256,0.0003792166071455822,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,575.3358154296875
17,INTERMEDIATE,1,256,0.0003792166071455822,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,570.3897705078125
17,INTERMEDIATE,2,256,0.0003792166071455822,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,567.66650390625
17,INTERMEDIATE,3,256,0.0003792166071455822,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,565.7869873046875
17,INTERMEDIATE,4,256,0.0003792166071455822,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,564.3536376953125
